saved_filename,frame_index,timestamp,x1,y1,x2,y2,source_video
plate_20251017_102426_0.jpg,1,20251017_102426,1203,1785,1415,2145,C:\carnumberplate-main\video_20250910_105621.mp4
plate_20251017_102426_1.jpg,1,20251017_102426,2074,1268,2413,1648,C:\carnumberplate-main\video_20250910_105621.mp4
plate_20251017_102426_2.jpg,1,20251017_102426,1255,847,1388,956,C:\carnumberplate-main\video_20250910_105621.mp4
plate_20251017_102426_3.jpg,1,20251017_102426,1934,2000,2114,2134,C:\carnumberplate-main\video_20250910_105621.mp4
plate_20251017_102426_4.jpg,1,20251017_102426,1697,1820,1862,2141,C:\carnumberplate-main\video_20250910_105621.mp4
plate_20251017_102426_5.jpg,1,20251017_102426,3006,1082,3091,1288,C:\carnumberplate-main\video_20250910_105621.mp4
plate_20251017_102426_6.jpg,1,20251017_102426,1665,991,1828,1205,C:\carnumberplate-main\video_20250910_105621.mp4
plate_20251017_102426_7.jpg,1,20251017_102426,78,1028,305,1184,C:\carnumberplate-main\video_20250910_105621.mp4
plate_20251017_102426_8.jpg,1,20251017_102426,1132,924,1210,1051,C:\carnumberplate-main\video_20250910_105621.mp4
plate_20251017_102426_9.jpg,1,20251017_102426,2095,1712,2791,2153,C:\carnumberplate-main\video_20250910_105621.mp4
plate_20251017_102426_10.jpg,1,20251017_102426,0,1082,149,1269,C:\carnumberplate-main\video_20250910_105621.mp4
plate_20251017_102426_11.jpg,4,20251017_102426,627,1548,764,1766,C:\carnumberplate-main\video_20250910_105621.mp4
plate_20251017_102426_12.jpg,7,20251017_102426,782,1076,976,1327,C:\carnumberplate-main\video_20250910_105621.mp4
plate_20251017_102426_13.jpg,16,20251017_102426,1151,1772,1286,2142,C:\carnumberplate-main\video_20250910_105621.mp4
plate_20251017_102426_14.jpg,16,20251017_102426,1265,836,1386,934,C:\carnumberplate-main\video_20250910_105621.mp4
plate_20251017_102426_15.jpg,16,20251017_102426,2099,1309,2454,1694,C:\carnumberplate-main\video_20250910_105621.mp4
plate_20251017_102426_16.jpg,16,20251017_102426,1704,1040,1883,1260,C:\carnumberplate-main\video_20250910_105621.mp4
plate_20251017_102426_17.jpg,16,20251017_102426,1776,1785,1889,2013,C:\carnumberplate-main\video_20250910_105621.mp4
plate_20251017_102426_18.jpg,16,20251017_102426,3007,1080,3086,1287,C:\carnumberplate-main\video_20250910_105621.mp4
plate_20251017_102426_19.jpg,16,20251017_102426,718,1507,835,1690,C:\carnumberplate-main\video_20250910_105621.mp4
plate_20251017_102427_20.jpg,19,20251017_102427,0,1027,314,1189,C:\carnumberplate-main\video_20250910_105621.mp4
plate_20251017_102427_21.jpg,22,20251017_102427,827,1043,1000,1278,C:\carnumberplate-main\video_20250910_105621.mp4
plate_20251017_102427_22.jpg,28,20251017_102427,1771,1920,1981,2123,C:\carnumberplate-main\video_20250910_105621.mp4
plate_20251017_102427_23.jpg,31,20251017_102427,1025,1774,1185,2132,C:\carnumberplate-main\video_20250910_105621.mp4
plate_20251017_102427_24.jpg,31,20251017_102427,1270,823,1383,911,C:\carnumberplate-main\video_20250910_105621.mp4
plate_20251017_102427_25.jpg,31,20251017_102427,2119,1333,2514,1748,C:\carnumberplate-main\video_20250910_105621.mp4
plate_20251017_102427_26.jpg,31,20251017_102427,1756,1077,1943,1297,C:\carnumberplate-main\video_20250910_105621.mp4
plate_20251017_102427_27.jpg,31,20251017_102427,3006,1079,3089,1285,C:\carnumberplate-main\video_20250910_105621.mp4
plate_20251017_102427_28.jpg,31,20251017_102427,1842,1756,1964,1989,C:\carnumberplate-main\video_20250910_105621.mp4
plate_20251017_102427_29.jpg,34,20251017_102427,0,1176,276,1654,C:\carnumberplate-main\video_20250910_105621.mp4
plate_20251017_102427_30.jpg,37,20251017_102427,863,1016,1026,1233,C:\carnumberplate-main\video_20250910_105621.mp4
plate_20251017_102427_31.jpg,40,20251017_102427,884,1364,1008,1573,C:\carnumberplate-main\video_20250910_105621.mp4
plate_20251017_102427_32.jpg,43,20251017_102427,1892,891,1960,954,C:\carnumberplate-main\video_20250910_105621.mp4
plate_20251017_102427_33.jpg,43,20251017_102427,1147,872,1199,970,C:\carnumberplate-main\video_20250910_105621.mp4
plate_20251017_102427_34.jpg,46,20251017_102427,1303,818,1402,902,C:\carnumberplate-main\video_20250910_105621.mp4
plate_20251017_102427_35.jpg,46,20251017_102427,978,1756,1097,2115,C:\carnumberplate-main\video_20250910_105621.mp4
plate_20251017_102427_36.jpg,46,20251017_102427,2173,1370,2593,1814,C:\carnumberplate-main\video_20250910_105621.mp4
plate_20251017_102427_37.jpg,46,20251017_102427,1897,1750,2023,2009,C:\carnumberplate-main\video_20250910_105621.mp4
plate_20251017_102427_38.jpg,46,20251017_102427,1826,1120,2037,1379,C:\carnumberplate-main\video_20250910_105621.mp4
plate_20251017_102427_39.jpg,49,20251017_102427,0,1037,577,1639,C:\carnumberplate-main\video_20250910_105621.mp4
plate_20251017_102427_40.jpg,49,20251017_102427,167,1472,668,1874,C:\carnumberplate-main\video_20250910_105621.mp4
plate_20251017_102427_41.jpg,49,20251017_102427,3054,1095,3133,1302,C:\carnumberplate-main\video_20250910_105621.mp4
plate_20251017_102427_42.jpg,49,20251017_102427,989,1337,1151,1550,C:\carnumberplate-main\video_20250910_105621.mp4
plate_20251017_102427_43.jpg,52,20251017_102427,1875,1905,2074,2113,C:\carnumberplate-main\video_20250910_105621.mp4
plate_20251017_102427_44.jpg,52,20251017_102427,945,998,1101,1214,C:\carnumberplate-main\video_20250910_105621.mp4
plate_20251017_102427_45.jpg,58,20251017_102427,1098,1329,1245,1511,C:\carnumberplate-main\video_20250910_105621.mp4
plate_20251017_102428_46.jpg,61,20251017_102428,895,1773,1051,2122,C:\carnumberplate-main\video_20250910_105621.mp4
plate_20251017_102428_47.jpg,61,20251017_102428,1353,833,1454,927,C:\carnumberplate-main\video_20250910_105621.mp4
plate_20251017_102428_48.jpg,61,20251017_102428,2255,1449,2711,1928,C:\carnumberplate-main\video_20250910_105621.mp4
plate_20251017_102428_49.jpg,61,20251017_102428,1926,1201,2157,1494,C:\carnumberplate-main\video_20250910_105621.mp4
plate_20251017_102428_50.jpg,61,20251017_102428,0,1402,86,1782,C:\carnumberplate-main\video_20250910_105621.mp4
plate_20251017_102428_51.jpg,64,20251017_102428,199,1078,395,1166,C:\carnumberplate-main\video_20250910_105621.mp4
plate_20251017_102428_52.jpg,67,20251017_102428,1985,1782,2118,2082,C:\carnumberplate-main\video_20250910_105621.mp4
plate_20251017_102428_53.jpg,67,20251017_102428,1193,1277,1308,1441,C:\carnumberplate-main\video_20250910_105621.mp4
plate_20251017_102428_54.jpg,76,20251017_102428,886,1743,1022,2093,C:\carnumberplate-main\video_20250910_105621.mp4
plate_20251017_102428_55.jpg,76,20251017_102428,2324,1486,2813,2004,C:\carnumberplate-main\video_20250910_105621.mp4
plate_20251017_102428_56.jpg,76,20251017_102428,2011,1249,2255,1556,C:\carnumberplate-main\video_20250910_105621.mp4
plate_20251017_102428_57.jpg,76,20251017_102428,1379,829,1484,909,C:\carnumberplate-main\video_20250910_105621.mp4
plate_20251017_102428_58.jpg,79,20251017_102428,0,1018,1016,1667,C:\carnumberplate-main\video_20250910_105621.mp4
plate_20251017_102428_59.jpg,79,20251017_102428,1300,1221,1391,1390,C:\carnumberplate-main\video_20250910_105621.mp4
plate_20251017_102428_60.jpg,82,20251017_102428,2030,1779,2169,2080,C:\carnumberplate-main\video_20250910_105621.mp4
plate_20251017_102428_61.jpg,82,20251017_102428,233,1079,444,1163,C:\carnumberplate-main\video_20250910_105621.mp4
plate_20251017_102428_62.jpg,88,20251017_102428,1290,859,1336,955,C:\carnumberplate-main\video_20250910_105621.mp4
plate_20251017_102428_63.jpg,91,20251017_102428,835,1725,980,2062,C:\carnumberplate-main\video_20250910_105621.mp4
plate_20251017_102428_64.jpg,91,20251017_102428,2398,1533,2925,2093,C:\carnumberplate-main\video_20250910_105621.mp4
plate_20251017_102428_65.jpg,91,20251017_102428,1408,819,1503,904,C:\carnumberplate-main\video_20250910_105621.mp4
plate_20251017_102428_66.jpg,94,20251017_102428,1380,1164,1474,1315,C:\carnumberplate-main\video_20250910_105621.mp4
