epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.2092,2.80234,77.0807,1.65968,0.00053,0.01,0.00022,8e-05,2.20308,62.4723,1.26262,0.00040008,0.00040008,0.00040008
2,24.5764,2.37754,17.1878,1.28812,0.00142,0.05,0.00037,0.00015,3.07073,724.942,1.47495,0.000789875,0.000789875,0.000789875
3,35.9021,2.77415,11.3953,1.46325,0.05943,0.04,0.00674,0.00307,2.7667,75.6035,1.28457,0.00115216,0.00115216,0.00115216
4,47.2056,2.41655,8.21824,1.13724,0.00152,0.34,0.00139,0.00066,2.33222,16.8443,1.16786,0.00148695,0.00148695,0.00148695
5,58.8322,2.19559,5.65092,1.09786,0.00358,0.57,0.00376,0.00156,2.54682,1192.42,1.09913,0.00144696,0.00144696,0.00144696
6,72.6483,2.35448,4.36787,1.1434,0.00333,0.32,0.00179,0.00072,2.80678,inf,5.8774,0.00139195,0.00139195,0.00139195
7,84.5511,2.30234,4.05329,1.12936,0.00138,0.34,0.0012,0.00048,3.17259,inf,1.8421,0.00133693,0.00133693,0.00133693
8,96.4304,2.07796,3.04613,1.15476,0.00715,0.38,0.00409,0.0018,2.65259,2184.56,1.34365,0.00128192,0.00128192,0.00128192
9,108.212,2.29012,2.85637,1.13207,0.00964,0.41,0.00586,0.00217,2.50381,1044.56,1.3332,0.00122691,0.00122691,0.00122691
10,120.008,2.15355,2.31966,1.12159,0.01665,0.42,0.01306,0.00543,2.16046,456.27,1.18168,0.0011719,0.0011719,0.0011719
11,131.736,1.86699,1.75557,0.9841,0.03413,0.45,0.02377,0.01017,2.20604,247.744,1.17576,0.00111689,0.00111689,0.00111689
12,143.722,1.96976,1.81173,1.05569,0.03631,0.53,0.02749,0.00993,2.37767,455.475,1.29186,0.00106188,0.00106188,0.00106188
13,155.482,1.6787,1.89246,1.0272,0.08381,0.5,0.05713,0.02599,2.1632,257.993,2.11661,0.00100687,0.00100687,0.00100687
14,167.599,1.74096,1.64089,0.9954,0.25769,0.58,0.18404,0.07931,1.89708,22.5542,1.13493,0.000951857,0.000951857,0.000951857
15,179.575,1.79685,1.77268,0.96872,0.43116,0.56849,0.3771,0.17327,2.00982,2.20169,1.00599,0.000896846,0.000896846,0.000896846
16,191.367,1.88619,1.6905,1.01917,0.36852,0.46687,0.2845,0.13135,1.94976,2.09279,0.99037,0.000841835,0.000841835,0.000841835
17,203.263,1.73747,1.48082,1.02591,0.20184,0.46,0.15774,0.07894,1.80468,7.1002,0.97859,0.000786824,0.000786824,0.000786824
18,215.015,1.65699,1.47736,1.0435,0.242,0.47,0.18085,0.09339,1.83353,4.99869,0.97456,0.000731813,0.000731813,0.000731813
19,226.85,1.65602,1.43104,1.01365,0.29426,0.55,0.22756,0.11351,1.80106,3.4996,0.95195,0.000676802,0.000676802,0.000676802
20,238.78,1.64455,1.31555,0.9353,0.32306,0.61,0.27121,0.13378,1.76586,2.67923,0.94747,0.000621791,0.000621791,0.000621791
21,250.671,1.68914,1.55706,0.98558,0.35499,0.5999,0.29231,0.13392,1.71279,2.56179,0.95665,0.00056678,0.00056678,0.00056678
22,262.402,1.70073,1.42773,0.95809,0.33273,0.56,0.28631,0.15562,1.6231,2.25391,0.94428,0.000511769,0.000511769,0.000511769
23,274.1,1.52437,1.31926,0.94998,0.3446,0.51,0.26786,0.15492,1.57999,2.33761,0.93954,0.000456758,0.000456758,0.000456758
24,285.746,1.52953,1.32746,0.93828,0.50227,0.52,0.49362,0.30156,1.61826,1.44882,0.93607,0.000401747,0.000401747,0.000401747
25,297.522,1.71215,1.4173,1.02514,0.49242,0.52389,0.45454,0.26774,1.6914,1.48553,0.93467,0.000346736,0.000346736,0.000346736
26,309.424,1.56631,1.28896,0.99469,0.52344,0.55,0.44827,0.26875,1.6865,1.51699,0.93344,0.000291725,0.000291725,0.000291725
27,320.996,1.70458,1.2629,0.93508,0.56111,0.54,0.48082,0.29298,1.64163,1.40677,0.93395,0.000236714,0.000236714,0.000236714
28,332.687,1.62892,1.27785,0.9498,0.57502,0.58,0.51601,0.31944,1.59478,1.29154,0.93172,0.000181703,0.000181703,0.000181703
29,344.626,1.43382,1.17417,0.93537,0.60461,0.55,0.51645,0.31395,1.6074,1.30547,0.93164,0.000126692,0.000126692,0.000126692
30,356.496,1.48652,1.189,0.98377,0.61185,0.54,0.55099,0.33705,1.58684,1.23871,0.92788,7.1681e-05,7.1681e-05,7.1681e-05
